"","trialNo","target","condition1.x","mean_fast","mean_slow","sd_fast","sd_slow","N_fast","N_slow","se_fast","se_slow","condition1.y","mean_acceptibility","mean_morality","sd_acceptibility","sd_morality","N_acceptibility","N_morality","se_acceptibility","se_morality","FminusS"
"58",58,"<b>On your flight,</b><br> <br> you put your bag in the middle of the aisle.","abnormal",0.178571428571429,0.155172413793103,0.385293325459601,0.365231199928332,84,58,0.0420389483019018,0.0479572060316654,"abnormal",4.59259259259259,4.40909090909091,0.747264717757073,0.590326052690247,27,22,0.143811161984319,0.125857937316941,0.0233990147783251
"59",59,"<b>On your flight,</b><br> <br> you ask people to give up their first-class seats.","abnormal",0.311688311688312,0.306451612903226,0.466220533420224,0.464783033373756,77,62,0.0531307607458886,0.0590275042660008,"abnormal",4.48148148148148,4.22727272727273,0.848998068783269,1.10977553207923,27,22,0.163389754517831,0.23660493843322,0.00523669878508587
"60",60,"<b>On your flight,</b><br> <br> you demand twenty-five bags of peanuts.","abnormal",0.454545454545455,0.293103448275862,0.501194744833586,0.45916096973529,77,58,0.0571164420397767,0.0602907890443519,"abnormal",4.48148148148148,4.04545454545455,0.935223970310789,0.998917162649385,27,22,0.179983937003841,0.212969854656763,0.161442006269592
"61",61,"<b>On your flight,</b><br> <br> you steal extra snacks from the cart.","immoral",0.21978021978022,0.243243243243243,0.416391850763405,0.43495883620084,91,37,0.0436497263289853,0.0715067921909349,"immoral",4.46153846153846,4.27272727272727,0.90468864172241,0.984731927834662,26,22,0.177424039918012,0.209945552432591,-0.0234630234630235
"62",62,"<b>On your flight,</b><br> <br> you shatter one of the plane's windows.","immoral",0.691358024691358,0.645833333333333,0.464811125852264,0.483321105250062,81,48,0.0516456806502516,0.0697613925552877,"immoral",4.85185185185185,4.90909090909091,0.601517549056852,0.29424494316825,27,22,0.115762106290086,0.0627332326674867,0.0455246913580246
"63",63,"<b>On your flight,</b><br> <br> you hold the plane's pilot as hostage.","immoral",0.595238095238095,0.526315789473684,0.493793957788201,0.503745370694601,84,57,0.0538773378399109,0.0667227043206724,"immoral",4.77777777777778,4.95454545454545,0.800640769025436,0.21320071635561,27,22,0.154083387840341,0.0454545454545455,0.0689223057644111
"64",64,"<b>On your flight,</b><br> <br> you poison the drink of your seatmate.","immoral",0.7,0.571428571428571,0.460824858880028,0.5,90,49,0.0485752052162186,0.0714285714285714,"immoral",4.92307692307692,5,0.392232270276368,0,26,22,0.0769230769230769,0,0.128571428571429
"65",65,"<b>On your way,</b><br> <br> you brainstorm suggestions for the group.","ordinary",0.0786516853932584,0.0357142857142857,0.270719542109693,0.188982236504614,89,28,0.0286962140712567,0.0357142857142857,"ordinary",1.18518518518519,1.18181818181818,0.483340701387989,0.501081082343218,27,22,0.0930189613522194,0.106830845707819,0.0429373996789727
"66",66,"<b>On your way,</b><br> <br> you turn on the radio to listen to music.","ordinary",0.0697674418604651,0.032258064516129,0.256248853055389,0.179605302026775,86,31,0.027632024455163,0.032258064516129,"ordinary",2.85714285714286,2.13636363636364,1.6491139195267,1.35560404899895,28,22,0.311653236763045,0.289015754341141,0.0375093773443361
"67",67,"<b>On your way,</b><br> <br> you mentally recite your agenda items.","ordinary",0.204819277108434,0.0444444444444444,0.406022832007839,0.208409077139993,83,45,0.0445667956942589,0.0310677909075347,"ordinary",1.19230769230769,1.40909090909091,0.40191847623425,0.908116360757433,26,22,0.0788226981996892,0.193611058647735,0.160374832663989
"68",68,"<b>On your way,</b><br> <br> you stop your car at the traffic light.","ordinary",0.238636363636364,0.0789473684210526,0.428692698173277,0.273276312733094,88,38,0.0456987951734811,0.0443312718129372,"ordinary",1.91666666666667,1.52380952380952,1.50120724365618,1.24976188208185,24,21,0.306432645427302,0.272720401205264,0.159688995215311
"69",69,"<b>On your way,</b><br> <br> you see the future; the event is a success.","impossible",0.692307692307692,0.846153846153846,0.464095480892257,0.364321307478654,91,52,0.048650425541052,0.0505222751868604,"impossible",3.27272727272727,2.53846153846154,1.55505042303516,1.33012434352235,11,13,0.46886534393555,0.368910117177902,-0.153846153846154
"70",70,"<b>On your way,</b><br> <br> you read the minds of people close by.","impossible",0.78494623655914,0.909090909090909,0.413086535980669,0.291937104060571,93,33,0.0428350783555476,0.0508197267613589,"impossible",3.91666666666667,4.1,1.67648622440092,0.994428926011753,12,10,0.483959886475286,0.31446603773522,-0.124144672531769
"71",71,"<b>On your way,</b><br> <br> you take a walk on the planet Neptune.","impossible",0.908045977011494,1,0.290636187028339,0,87,33,0.0311594699190544,0,"impossible",3.83333333333333,5,1.32916013582513,0,6,3,0.542627353203324,0,-0.0919540229885057
"72",72,"<b>On your way,</b><br> <br> you jump over the Great Wall of China.","impossible",0.968085106382979,0.96551724137931,0.176716020266431,0.185695338177052,94,29,0.0182268657857097,0.0344827586206897,"impossible",4,4.25,1.51185789203691,1.48804761828569,8,8,0.534522483824849,0.526104280809151,0.00256786500366835
"73",73,"<b>On your way,</b><br> <br> you board an international flight.","abnormal",0.616279069767442,0.588235294117647,0.489143420593299,0.499554168435642,86,34,0.0527456915367913,0.0856728330887552,"abnormal",3.80952380952381,2.83333333333333,1.63153448075876,1.50489397711365,21,18,0.356030012238452,0.354706912061285,0.0280437756497948
"74",74,"<b>On your way,</b><br> <br> you go on a long, scenic walk.","abnormal",0.411111111111111,0.457142857142857,0.494791851468525,0.505432670960188,90,35,0.0521556406110755,0.0854337144681602,"abnormal",3.56521739130435,2.15,1.59048554497509,1.34848843251679,23,20,0.331639161476728,0.301531180197967,-0.046031746031746
"75",75,"<b>On your way,</b><br> <br> you climb into bed and take a nap.","abnormal",0.547619047619048,0.660377358490566,0.500716640757637,0.478113127360488,84,53,0.0546326644760924,0.0656738888055081,"abnormal",4.1304347826087,3.22222222222222,1.60409554878887,1.62898581063244,23,18,0.334477043447273,0.383955637718288,-0.112758310871518
"76",76,"<b>On your way,</b><br> <br> you watch a movie at a theater.","abnormal",0.522222222222222,0.621621621621622,0.502304303170668,0.491672392698372,90,37,0.0529475225507683,0.0808304434456142,"abnormal",4.09090909090909,2.5,1.30599682450904,1.7013926184468,22,20,0.278439458543481,0.380442955126341,-0.0993993993993993
"77",77,"<b>On your way,</b><br> <br> you hit a pedestrian with your car.","immoral",0.366666666666667,0.259259259259259,0.484594119520818,0.446576084704722,90,27,0.0510807052803217,0.0859436075726402,"immoral",4.80769230769231,5,0.69392972377501,0,26,22,0.136090815484263,0,0.107407407407407
"78",78,"<b>On your way,</b><br> <br> you steer your car into a small dog.","immoral",0.56,0.298245614035088,0.4997296566442,0.461554527064391,75,57,0.0577038103571136,0.061134390564664,"immoral",4.85714285714286,4.86363636363636,0.590936840285279,0.639602149066831,28,22,0.111676565710082,0.136363636363636,0.261754385964912
"79",79,"<b>On your way,</b><br> <br> you decide to rob a bank instead.","immoral",0.595238095238095,0.375,0.493793957788201,0.49029033784546,84,40,0.0538773378399109,0.0775217091182553,"immoral",4.73076923076923,4.76190476190476,0.961569230276939,0.768424485864545,26,21,0.188579241109712,0.167683970111038,0.220238095238095
"80",80,"<b>On your way,</b><br> <br> you park in the middle of the highway.","immoral",0.402439024390244,0.521739130434783,0.493407304203142,0.505046991643467,82,46,0.054487721579629,0.0744651163980587,"immoral",4.75,4.42857142857143,0.737209780774486,1.247855302967,24,21,0.150482316357212,0.272304351533253,-0.119300106044539
"81",81,"<b>During your class,</b><br> <br> you take notes on the lecture slide.","ordinary",0.0444444444444444,0.114285714285714,0.207234932150978,0.322802851090676,90,35,0.0218444798782516,0.0545636406075561,"ordinary",1.66666666666667,1.68181818181818,1.38675049056307,1.39339816332534,27,22,0.266880256341812,0.297073486589555,-0.0698412698412698
"82",82,"<b>During your class,</b><br> <br> you retrieve an eraser from your bag.","ordinary",0.0975609756097561,0.0204081632653061,0.298546110654101,0.142857142857143,82,49,0.0329689026032424,0.0204081632653061,"ordinary",1.46428571428571,1.09090909090909,1.07089934019281,0.29424494316825,28,22,0.202380952380952,0.0627332326674867,0.07715281234445
"83",83,"<b>During your class,</b><br> <br> you raise your hand to ask a question.","ordinary",0.0235294117647059,0.037037037037037,0.152477210493529,0.192450089729875,85,27,0.0165384755396364,0.037037037037037,"ordinary",1.46428571428571,1.04545454545455,0.922241346139448,0.21320071635561,28,22,0.174287232190458,0.0454545454545455,-0.0135076252723312
"84",84,"<b>During your class,</b><br> <br> you turn to the next page in your notes.","ordinary",0.0657894736842105,0,0.249561018098552,0,76,44,0.028626612056282,0,"ordinary",1.22222222222222,1.04545454545455,0.800640769025436,0.21320071635561,27,22,0.154083387840341,0.0454545454545455,0.0657894736842105
"85",85,"<b>During your class,</b><br> <br> you push over a large, towering tree.","impossible",0.753246753246753,0.946428571428571,0.433948946665029,0.227207782928703,77,56,0.0494530721159994,0.0303619171188469,"impossible",4.88888888888889,4.25,0.333333333333333,1.5,9,4,0.111111111111111,0.75,-0.193181818181818
