ResponseId,answerOrder,scenario,question,SCEN,SCEN (2nd),consistent,SCEN (final),action,action (2nd),code1,code1 (2nd),code2,code 2 (2nd),code3,code 3 (2nd),ScenarioCode,ScenarioCode (2nd),ConventionalViolation,ConventionalViolation (2nd),consistent (T:3117; F:126),ConventionalViolation
R_24BJGFhufjl9UhI,7,scenario1,take photos,Y,N,,N,ACT,ACT,PHONE,,,,,,PIC,PIC,N,N,,N
R_24BJGFhufjl9UhI,8,scenario1,learn about new things,Y,N,,N,MENT,ACT,,,,,,,LEARN,LEARN,N,N,,N
R_27HEXQGC24Mpolu,1,scenario1,go to the gift shop,Y,Y,,Y,ACT,ACT,,,,,,,GIFT,GIFT,N,N,,N
R_27HEXQGC24Mpolu,2,scenario1,check out their art section,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_27HEXQGC24Mpolu,3,scenario1,see if they have a food court or cafe and relax,Y,Y,,Y,ACT,ACT,,,,,,,,,N,N,,N
R_27HEXQGC24Mpolu,4,scenario1,walk through different sections to find one you really like,Y,Y,,Y,ACT,ACT,,,,,,,EXPL,LOOK,N,N,,N
R_27HEXQGC24Mpolu,5,scenario1,check out the dinosaur fossil section,Y,Y,,Y,ACT,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_27HEXQGC24Mpolu,6,scenario1,make small talk with people looking at certain displays,Y,Y,,Y,ACT,ACT,SOC,SOC,,,,,TALK,TALK,N,N,,N
R_27HEXQGC24Mpolu,7,scenario1,take photos if that is allowed,Y,Y,,Y,ACT,ACT,AUTH,,PHONE,,,,PIC,PIC,N,N,,N
R_27HEXQGC24Mpolu,8,scenario1,leave the museum if you find you are bored and go do something else,Y,Y,,Y,ACT,ACT,,,,,,,,,N,N,,N
R_2A0wqMmsro7R1r0,1,scenario1,look at art,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2A0wqMmsro7R1r0,2,scenario1,walk around for exercise,N,N,,N,ACT,ACT,,,,,,,,,N,N,,N
R_2A0wqMmsro7R1r0,3,scenario1,play a prank on security,Y,Y,,Y,ACT,ACT,AUTH,AUTH,,,,,,,N,Y,,Y
R_2A0wqMmsro7R1r0,4,scenario1,take pictures,N,N,,N,ACT,ACT,PHONE,,,,,,PIC,PIC,N,N,,N
R_2A0wqMmsro7R1r0,5,scenario1,meet other people,N,N,,N,ACT,ACT,SOC,SOC,,,,,,TALK,N,N,,N
R_2A0wqMmsro7R1r0,6,scenario1,educate myself,Y,N,,N,ACT,MENT,,,,,,,LEARN,LEARN,N,N,,N
R_2A0wqMmsro7R1r0,7,scenario1,sit down and relax,N,N,,N,ACT,ACT,,,,,,,,,N,N,,N
R_2A0wqMmsro7R1r0,8,scenario1,reflect on the past,N,N,,N,MENT,MENT,,,,,,,,,N,N,,N
R_2cbAPRW722dq3Gm,1,scenario1,walk around,Y,N,,N,ACT,ACT,,,,,,,EXPL,,N,N,,N
R_2cbAPRW722dq3Gm,2,scenario1,look at artwork,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2cbAPRW722dq3Gm,3,scenario1,look at historical items,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2cbAPRW722dq3Gm,4,scenario1,,Y,,,,OBS,,,,,,,,LOOK,,N,,,
R_2cbAPRW722dq3Gm,5,scenario1,listen to an audio presentation,Y,Y,,Y,OBS,MENT,,,,,,,,,N,N,,N
R_2cbAPRW722dq3Gm,6,scenario1,visit with the security guard,Y,Y,,Y,ACT,ACT,AUTH,SOC,SOC,AUTH,,,TALK,TALK,N,N,,N
R_2cbAPRW722dq3Gm,7,scenario1,talk with other people,N,N,,N,ACT,ACT,SOC,SOC,,,,,TALK,TALK,N,N,,N
R_2cbAPRW722dq3Gm,8,scenario1,buy a souvenir,Y,Y,,Y,ACT,ACT,,,,,,,GIFT,,N,N,,N
R_2CfU9To2UYrD8zp,1,scenario1,Check out all the items the museum has,Y,Y,,Y,OBS,ACT,,,,,,,EXPL,,N,N,,N
R_2CfU9To2UYrD8zp,2,scenario1,text my friends,N,N,,N,ACT,ACT,SOC,PHONE,PHONE,SOC,,,,,N,N,,N
R_2CfU9To2UYrD8zp,3,scenario1,check email,N,N,,N,ACT,ACT,SOC,,PHONE,,,,,,N,N,,N
R_2CfU9To2UYrD8zp,4,scenario1,take pictures of exhibits,Y,Y,,Y,ACT,ACT,PHONE,,,,,,PIC,PIC,N,N,,N
R_2CfU9To2UYrD8zp,5,scenario1,read the news on my phone,N,N,,N,OBS,MENT,,PHONE,,,,,LOOK,,N,N,,N
R_2CfU9To2UYrD8zp,6,scenario1,play a game on phone,N,N,,N,ACT,ACT,PHONE,PHONE,,,,,,,N,N,,N
R_2CfU9To2UYrD8zp,7,scenario1,eat a snack,N,N,,N,ACT,ACT,FOOD,FOOD,,,,,,,N,N,,N
R_2CfU9To2UYrD8zp,8,scenario1,talk to the museum employees,Y,Y,,Y,ACT,ACT,SOC,SOC,,,,,TALK,TALK,N,N,,N
R_2dMekOKukSD5cQF,1,scenario1,Enjoy the exhibits.,Y,Y,,Y,EMO,EMO,,,,,,,LOOK,LOOK,N,N,,N
R_2dMekOKukSD5cQF,2,scenario1,Learn about culture and history,Y,Y,,Y,MENT,MENT,,,,,,,LEARN,LEARN,N,N,,N
R_2dMekOKukSD5cQF,3,scenario1,Broaden my mind,Y,N,,N,MENT,MENT,,,,,,,LEARN,LEARN,N,N,,N
R_2dMekOKukSD5cQF,4,scenario1,Ask questions about things I'm interested in,Y,Y,,Y,ACT,ACT,SOC,,,,,,INT,INT,N,N,,N
R_2dMekOKukSD5cQF,5,scenario1,Discover interests I didn't know I had,Y,Y,,Y,ACT,ACT,,,,,,,INT,INT,N,N,,N
R_2dMekOKukSD5cQF,6,scenario1,Plan the rest of my day,N,N,,N,MENT,MENT,,,,,,,,,N,N,,N
R_2dMekOKukSD5cQF,7,scenario1,Space out and not really think about my problems,N,N,,N,MENT,MENT,,,,,,,,,N,N,,N
R_2dMekOKukSD5cQF,8,scenario1,Walk around,N,N,,N,ACT,ACT,,,,,,,,,N,N,,N
R_2froWw5vs2b6AxH,1,scenario1,I would leave my backpack with the security guard.,Y,Y,,Y,ACT,ACT,AUTH,AUTH,,COOP,,,BPACK,BPACK,N,N,,N
R_2froWw5vs2b6AxH,2,scenario1,I would look at the exhibits.,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2froWw5vs2b6AxH,3,scenario1,I may watch a movie or film.,N,N,,N,OBS,MENT,,,,,,,,,N,Y,,Y
R_2froWw5vs2b6AxH,4,scenario1,I would probably ask questions about the exhibits.,Y,Y,,Y,ACT,ACT,SOC,SOC,,,,,TALK,TALK,N,N,,N
R_2froWw5vs2b6AxH,5,scenario1,I may get a snack or drink.,N,N,,N,ACT,ACT,,FOOD,,,,,,,N,N,,N
R_2froWw5vs2b6AxH,6,scenario1,I would have fun looking at the exhibits.,Y,Y,,Y,EMO,EMO,,,,,,,LOOK,LOOK,N,N,,N
R_2froWw5vs2b6AxH,7,scenario1,I would read information provided about the exhibits.,Y,Y,,Y,OBS,MENT,,,,,,,LOOK,LOOK,N,N,,N
R_2froWw5vs2b6AxH,8,scenario1,I would visit with family or friends that I met there.,Y,Y,,Y,ACT,ACT,SOC,SOC,,,,,TALK,TALK,N,N,,N
R_2S0IYfBDVyAiCJ5,1,scenario1,look at art,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2S0IYfBDVyAiCJ5,2,scenario1,look at fossils,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2S0IYfBDVyAiCJ5,3,scenario1,look at exhibits,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2S0IYfBDVyAiCJ5,4,scenario1,have a seat on a bench,N,N,,N,ACT,ACT,,,,,,,,,N,N,,N
R_2S0IYfBDVyAiCJ5,5,scenario1,visit the gift shop,Y,Y,,Y,ACT,ACT,,,,,,,GIFT,GIFT,N,N,,N
R_2S0IYfBDVyAiCJ5,6,scenario1,explore,N,N,,N,ACT,ACT,,,,,,,EXPL,EXPL,N,N,,N
R_2S0IYfBDVyAiCJ5,7,scenario1,have fun,N,N,,N,EMO,EMO,,,,,,,,,N,N,,N
R_2S0IYfBDVyAiCJ5,8,scenario1,learn,Y,N,,N,MENT,MENT,,,,,,,LEARN,LEARN,N,N,,N
R_2s5yhsQZDSPebac,1,scenario1,look at displays,Y,Y,,Y,OBS,OBS,,,,,,,LOOK,LOOK,N,N,,N
R_2s5yhsQZDSPebac,2,scenario1,take photos,Y,N,,N,ACT,ACT,PHONE,,,,,,PIC,PIC,N,N,,N
R_2s5yhsQZDSPebac,3,scenario1,youtube livestream,N,N,,N,ACT,MENT,PHONE,,,,,,,,Y,Y,,Y
